Data;7936 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Total geral - %;7937 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Total pessoa jurídica - %;7938 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Total pessoa física - %
jun/00;5,6;5,6;5,44
jul/00;5,5;5,4;5,67
ago/00;5,2;5,1;5,41
set/00;5,7;5,8;5,54
out/00;5,3;5,2;5,34
nov/00;5,1;5;5,35
dez/00;5,1;4,9;5,48
jan/01;4,9;4,7;5,43
fev/01;4,9;4,6;5,47
mar/01;4,7;4,2;5,64
abr/01;4,6;3,9;5,79
mai/01;4,8;4,2;5,95
jun/01;3,8;2,6;5,89
jul/01;3,8;2,4;6,26
ago/01;3,8;2,4;6,52
set/01;3,9;2,4;6,62
out/01;3,8;2,3;6,7
nov/01;4;2,3;7
dez/01;4,3;2,5;7,67
jan/02;4,6;2,6;7,95
fev/02;4,7;2,7;8,13
mar/02;4,7;2,8;7,96
abr/02;4,8;2,8;8,25
mai/02;5;2,9;8,44
jun/02;4,9;2,9;8,34
jul/02;4,4;2,3;8,18
ago/02;4,6;2,5;8,24
set/02;4,4;2,3;8,3
out/02;4,4;2,4;8,03
nov/02;4,4;2,4;8,01
dez/02;4;1,9;7,78
jan/03;4,1;2,1;7,69
fev/03;4,2;2,1;7,9
mar/03;4,3;2,3;7,64
abr/03;4,4;2,5;7,65
mai/03;4,5;2,4;7,85
jun/03;4,5;2,5;7,8
jul/03;4,6;2,6;7,82
ago/03;4,6;2,5;7,9
set/03;4,6;2,6;7,68
out/03;4,7;2,9;7,38
nov/03;4,6;2,8;7,43
dez/03;4,2;2,2;7,26
jan/04;4,3;2,2;7,42
fev/04;4,3;2,2;7,35
mar/04;4,1;2,2;6,87
abr/04;4;2,2;6,62
mai/04;3,9;2,1;6,59
jun/04;3,8;2;6,54
jul/04;3,8;1,9;6,54
ago/04;3,7;1,9;6,34
set/04;3,6;1,8;6,23
out/04;3,7;1,8;6,45
nov/04;3,6;1,7;6,28
dez/04;3,6;1,8;6,13
jan/05;3,6;1,8;6,09
fev/05;3,5;1,7;5,94
mar/05;3,8;2;6,13
abr/05;4;2,3;6,12
mai/05;3,6;1,7;5,94
jun/05;3,6;1,7;6,03
jul/05;3,7;1,8;6,12
ago/05;3,9;1,9;6,3
set/05;4,1;2;6,48
out/05;4;1,9;6,47
nov/05;4,3;2,1;6,8
dez/05;4,2;2;6,74
jan/06;4,4;2,2;6,93
fev/06;4,5;2,2;7,17
mar/06;4,6;2,2;7,25
abr/06;4,7;2,3;7,43
mai/06;4,9;2,4;7,7
jun/06;4,7;2,3;7,27
jul/06;4,8;2,4;7,54
ago/06;5;2,6;7,6
set/06;5,1;2,8;7,68
out/06;5,1;2,8;7,58
nov/06;5,1;2,8;7,67
dez/06;5;2,7;7,57
jan/07;5;2,8;7,46
fev/07;5;2,8;7,34
mar/07;4,9;2,8;7,12
abr/07;4,8;2,7;7,04
mai/07;4,8;2,6;7,19
jun/07;4,7;2,5;7,13
jul/07;4,69;2,44;7,12
ago/07;4,69;2,39;7,21
set/07;4,59;2,33;7,09
out/07;4,51;2,25;7,01
nov/07;4,5;2,2;7,1
dez/07;4,3;2,01;7,01
jan/08;4,35;2;7,09
fev/08;4,35;1,98;7,1
mar/08;4,08;1,79;6,85
abr/08;4,23;1,84;7,12
mai/08;4,28;1,8;7,35
jun/08;4,04;1,69;7,02
jul/08;4,17;1,72;7,3
ago/08;4,21;1,7;7,48
set/08;4,02;1,64;7,27
out/08;4,18;1,71;7,52
nov/08;4,22;1,72;7,7
dez/08;4,36;1,84;7,91
jan/09;4,61;2,04;8,15
fev/09;4,85;2,32;8,31
mar/09;5,03;2,59;8,34
abr/09;5,24;2,91;8,35
mai/09;5,52;3,19;8,54
jun/09;5,63;3,43;8,44
jul/09;5,84;3,81;8,4
ago/09;5,85;3,89;8,3
set/09;5,81;3,95;8,12
out/09;5,82;3,97;8,09
nov/09;5,77;3,94;8
dez/09;5,53;3,75;7,71
jan/10;5,49;3,8;7,53
fev/10;5,3;3,72;7,19
mar/10;5,14;3,6;6,96
abr/10;5,07;3,59;6,78
mai/10;5,14;3,7;6,79
jun/10;4,97;3,61;6,54
jul/10;4,89;3,62;6,33
ago/10;4,83;3,57;6,24
set/10;4,71;3,54;6,03
out/10;4,67;3,52;5,95
nov/10;4,65;3,55;5,88
dez/10;4,54;3,51;5,68
jan/11;4,63;3,63;5,72
fev/11;4,69;3,62;5,84
mar/11;4,78;3,69;5,96
abr/11;4,89;3,74;6,12
mai/11;5,07;3,82;6,4
jun/11;5,05;3,76;6,43
jul/11;5,16;3,81;6,59
ago/11;5,31;3,89;6,82
set/11;5,34;3,84;6,95
out/11;5,5;3,98;7,13
nov/11;5,59;3,98;7,32
dez/11;5,54;3,88;7,35
jan/12;5,74;4,04;7,57
fev/12;5,81;4,12;7,59
mar/12;5,71;4,11;7,43
abr/12;5,81;4,1;7,66
mai/12;5,91;4,09;7,9
jun/12;5,8;3,96;7,8
jul/12;5,87;4,04;7,86
ago/12;5,9;4,09;7,85
set/12;5,88;4,02;7,92
out/12;5,93;4,12;7,92
nov/12;5,86;4,07;7,82
dez/12;5,82;4,01;7,86
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
