inicio;fim;tipo_evento;evento
1988-07-01;;REGULAÇÃO OU LEI;BASILEIA I
1990-11-01;;REGULAÇÃO OU LEI;LEI 8078/90 (REGULAMENTAÇÃO CADASTRO NEGATIVO)
1994-07-01;;PLANOS ECONÔMICOS;IMPLEMENTAÇÃO DO REAL
1994-12-01;1995-03-01;CHOQUES ECONÔMICOS;CRISE DO MÉXICO
1995-11-01;2004-12-01;ALTERAÇÕES DE MERCADO;1ª CONSOLIDAÇÃO BANCÁRIA (ITAÚ, UNIBANCO, SANTANDER, ABN AMRO, HSBC, BRADESCO)
1995-11-01;;PLANOS ECONÔMICOS;PROER
1996-05-01;;REGULAÇÃO OU LEI;RESOLUÇÃO CMN 2099 (REGULAÇÃO SFN)
1996-08-01;;PLANOS ECONÔMICOS;PROES
1997-01-01;;REGULAÇÃO OU LEI;LEI 9447/97 (PODER DE INTERVENÇÃO BACEN)
1997-07-01;;CHOQUES ECONÔMICOS;CRISE ASIÁTICA
1999-01-01;;PLANOS ECONÔMICOS;TRIPÉ MACROECONÔMICO
1999-12-01;;REGULAÇÃO OU LEI;RESOLUÇÃO 2682 CMN (PDD)
2000-01-01;2014-12-01;CHOQUES ECONÔMICOS;BOOM DAS COMMODITIES
2002-04-01;;REGULAÇÃO OU LEI;IMPLEMENTAÇÃO SPB
2003-10-01;;REGULAÇÃO OU LEI;LEI 10820/03 (CRÉDITO CONSIGNADO)
2004-06-01;;REGULAÇÃO OU LEI;BASILEIA II
2007-05-01;2016-12-01;ALTERAÇÕES DE MERCADO;2ª CONSOLIDAÇÃO BANCÁRIA  (ITAÚ, SANTANDER, BRADESCO)
2008-07-01;2010-12-01;CHOQUES ECONÔMICOS;CRISE DO SUBPRIME
2008-09-01;;REGULAÇÃO OU LEI;LEI 11795/08 (LEI DOS CONSÓRCIOS)
2010-12-01;;REGULAÇÃO OU LEI;ACORDO DE BASILEIA III
2011-06-01;;REGULAÇÃO OU LEI;LEI 12414/2011 (CADASTRO POSITIVO)
2011-08-01;2014-12-01;PLANOS ECONÔMICOS;IMPLEMENTAÇÃO DA NOVA MATRIZ ECONÔMICA
2014-07-01;2017-12-01;CHOQUES ECONÔMICOS;CRISE DE 2014-2017
2015-12-01;2020-12-01;ALTERAÇÕES DE MERCADO;ENTRADA DE FINTECHS NO MERCADO (NUBANK, INTER)
2016-04-01;;REGULAÇÃO OU LEI;RESOLUÇÃO 4480 CMN (ABERTURA DE CONTA DIGITAL)
2016-12-01;;PLANOS ECONÔMICOS;TETO DE GASTOS
2017-10-01;;REGULAÇÃO OU LEI;RESOLUÇÃO 4.553 CMN (SEGMENTAÇÃO IFS)
2018-04-01;;REGULAÇÃO OU LEI;RESOLUÇÕES 4656-58 CMN (REGULAÇÃO SEP E SED)
2019-05-01;;REGULAÇÃO OU LEI;ALTERAÇÃO LEI 12414/2011 (INCLUSÃO AUTOMATICA CADASTRO POSITIVO)
2020-03-01;2022-12-01;CHOQUES ECONÔMICOS;PANDEMIA DA COVID-19
2020-05-01;;ALTERAÇÕES DE MERCADO;LANÇAMENTO DO OPEN BANKING
2020-11-01;;ALTERAÇÕES DE MERCADO;LANÇAMENTO DO PIX
2020-12-01;2025-03-01;ALTERAÇÕES DE MERCADO;CONSOLIDAÇÃO DAS FINTECHS NO MERCADO
2021-07-01;;REGULAÇÃO OU LEI;LEI 14181/2021 (LEI DO SUPERENDIVIDAMENTO)
2023-10-01;;REGULAÇÃO OU LEI;LEI 14690 (DESENROLA + TETO ROTATIVO)
2024-12-01;;REGULAÇÃO OU LEI;RESOLUÇÃO 4966 CMN (TRANSIÇÃO IFRS9)
